masterSku,title,brand,categoryLeaf,city,cityName,price,priceBeforeDiscount,discount
156896054,XTREON XT1 черный,XTREON,Мыши,750000000,Алматы,4990,8738,43
145200466,Пароочиститель NEXME QX002 белый,NEXME,Пароочистители,750000000,Алматы,14990,25033,40
148491660,Соковыжималка NEXME JS-90 черно-серебристый,NEXME,Соковыжималки,750000000,Алматы,21990,21990,0
156895966,XTREON XT1 белый,XTREON,Мыши,750000000,Алматы,4990,8738,43
136648548,"Imou камера видеонаблюдения Ranger Mini 3MP, 3 расширение 2304x1296",Imou,Камеры видеонаблюдения,750000000,Алматы,20900,20900,0
133898169,"TP-LINK камера видеонаблюдения Tapo TC71, 3 расширение 2304x1296",TP-LINK,Камеры видеонаблюдения,750000000,Алматы,15590,19488,20
113689280,TEFIA маска Ambient Service липидная 500 мл,TEFIA,Маски и бальзамы для волос,750000000,Алматы,8649,10811,20
101336025,Стабилизатор напряжения SVC R-5000,SVC,ИБП и стабилизаторы,750000000,Алматы,47990,59988,20
152383608,TROUVER E40 Ultra RLE21SE / 23205632 белый,TROUVER,Роботы-пылесосы,750000000,Алматы,219990,249990,12
149622615,"27"" XTREON XT27T8S OLED черный",XTREON,Мониторы,750000000,Алматы,249990,249990,0
136648790,"Imou камера видеонаблюдения Ranger Mini 5MP, 5 расширение 2688х1664",Imou,Камеры видеонаблюдения,750000000,Алматы,23900,23900,0
101083957,Стабилизатор напряжения SVC AVR-600-L,SVC,ИБП и стабилизаторы,750000000,Алматы,11990,11990,0
27700044,"Дренажный насос 900 Вт ДН-900 Вихрь корпус пластик, встроенный поплавок, для грязной воды, макс. подача 258 л/мин, высота подъема 8 м 68/2/3",ВИХРЬ,Водяные насосы,750000000,Алматы,23690,23690,0
132813018,"TP-LINK камера видеонаблюдения IP-камера TP-Link Tapo TC60, 2 расширение 1080P",TP-LINK,Камеры видеонаблюдения,750000000,Алматы,13990,13990,0
104636043,Стабилизатор напряжения SVC SVC R-600,SVC,ИБП и стабилизаторы,750000000,Алматы,16990,16990,0
101256747,Стабилизатор напряжения SVC W-1000,SVC,ИБП и стабилизаторы,750000000,Алматы,18990,18990,0
122038682,DREAME H14 Dual черный,DREAME,Пылесосы,750000000,Алматы,379990,379990,0
101256815,Стабилизатор напряжения SVC W-500,SVC,ИБП и стабилизаторы,750000000,Алматы,16990,16990,0
2240141,Canon PowerShot G7 X Mark III черный,Canon,Фотокамеры,750000000,Алматы,649990,649990,0
114269290,"Отбеливатель TAZA Кислородный эко порошок, 1000 мл",TAZA,Отбеливатели и пятновыводители,750000000,Алматы,2321,3188,27
101591794,Штроборез CROWN CT13525,CROWN,Штроборезы,750000000,Алматы,70000,70000,0
140640417,Redmi Pad 2 4G 11 дюйм 8 Гб/256 Гб серый,REDMI,Планшеты,750000000,Алматы,124990,124990,0
140639712,Redmi Pad 2 11 дюйм 8 Гб/256 Гб серый,REDMI,Планшеты,750000000,Алматы,114990,114990,0
123616288,CUBOT KingKong X 16 ГБ/512 ГБ черный,CUBOT,Смартфоны,750000000,Алматы,239997,239997,0
15800107,"Мойка высокого давления Huter W165-QL, 165 бар",Huter,Мойки высокого давления,750000000,Алматы,71190,71190,0
144392065,REDMI 15C NFC 8 ГБ/256 ГБ черный,REDMI,Смартфоны,750000000,Алматы,89990,89990,0
145860493,"Imou камера видеонаблюдения Wi-Fi Ranger 2 5MP, 5MP, расширение 2688х1664",Imou,Камеры видеонаблюдения,750000000,Алматы,16990,16990,0
115199086,"Подгузники-трусики BAFURI XL, 5, 42 шт",BAFURI,Подгузники,750000000,Алматы,3780,3780,0
114317211,NEXME SJYTD-6 черный,NEXME,Кулеры для воды,750000000,Алматы,35990,61862,42
101613722,TEFIA MyCare Moisture шампунь 1000 мл,TEFIA,Шампуни для волос,750000000,Алматы,6228,7785,20
101753804,TEFIA Многофункциональный 20 в 1 спрей 250 мл,TEFIA,Средства по уходу за волосами,750000000,Алматы,4663,5829,20
3701430,Deerma DX115C черный,Deerma,Пылесосы,750000000,Алматы,11590,14625,21
143190137,"Imou камера видеонаблюдения Cue 2 3MP, 3MP, расширение 2304x1296",Imou,Камеры видеонаблюдения,750000000,Алматы,13990,13990,0
146846746,Xiaomi A Pro 2026 L50MB-APRU 127 см черный,Xiaomi,Телевизоры,750000000,Алматы,169990,189990,11
128508451,Пудра Sen Sulu Sen Sulu Пудра V2 рассыпчатая V2 бежевый,Sen Sulu,Пудры,750000000,Алматы,4990,7800,36
143215863,Amazfit T-Rex 3 49 мм серый,Amazfit,Смарт-часы,750000000,Алматы,139990,174988,20
100824360,StarLine A93 V2 Eco с обратной связью,StarLine,Автосигнализации,750000000,Алматы,64900,64900,0
115199069,"Подгузники-трусики BAFURI XXL, 40 шт",BAFURI,Подгузники,750000000,Алматы,3597,3597,0
111322769,YLW6318 белый,Без бренда,Пылесосы,750000000,Алматы,25990,45482,43
100096572,Huter МК-9500P-10 70/5/16,Huter,Мотоблоки,750000000,Алматы,336490,336490,0
110756528,Midea MDWB-4515BB серебристый,Midea,Посудомоечные машины,750000000,Алматы,143875,143875,0
108430990,Canon EOS R6 Mark II Body черный,Canon,Фотокамеры,750000000,Алматы,787533,1067488,26
140753431,HONOR 400 Pro 12 ГБ/512 ГБ серый,HONOR,Смартфоны,750000000,Алматы,348488,348488,0
101423703,Maxler 100% Golden Micronized Creatine 600 г,Maxler,Креатин,750000000,Алматы,24000,30000,20
42400048,Фрезер вертикальный CROWN CT11012,CROWN,Фрезеры,750000000,Алматы,38990,38990,0
117095009,Garmin Forerunner 165 черный-серый,Garmin,Смарт-часы,750000000,Алматы,158990,158990,0
140640475,Redmi Pad 2 4G 11 дюйм 8 Гб/256 Гб зеленый,REDMI,Планшеты,750000000,Алматы,124990,124990,0
117574702,Bambu Lab P1S Combo EU with AMS System,Bambu Lab,3D-принтеры,750000000,Алматы,405990,405990,0
16200253,"Подгузники Yokosun Comfort+ L, 54 шт",Yokosun,Подгузники,750000000,Алматы,6630,12999,49
100682498,ITALWAX Белый шоколад средняя 1000 г,ITALWAX,Воск для депиляции,750000000,Алматы,7680,7680,0
129285524,Midea MF200D80WBS/S-RU серый,Midea,Стиральные машины,750000000,Алматы,249880,249880,0
106851985,Garmin MARQ Athlete Gen 2 серебристый-черный,Garmin,Смарт-часы,750000000,Алматы,998990,998990,0
129065160,Наушники REDMI Buds 6 Play розовый,REDMI,Наушники,750000000,Алматы,6326,6326,0
140753397,HONOR 400 Pro 12 ГБ/512 ГБ черный,HONOR,Смартфоны,750000000,Алматы,369990,369990,0
140943360,Sen Sulu глиттер прессованные Sparkle mood 02 Golden gleam,Sen Sulu,Тени для век,750000000,Алматы,3600,5200,31
114447600,"Отбеливатель-пятновыводитель TAZA кислородный порошок,",TAZA,Отбеливатели и пятновыводители,750000000,Алматы,1400,2000,30
120635505,StarLine A93 V2 Eco с обратной связью,StarLine,Автосигнализации,750000000,Алматы,64900,64900,0
123910509,Xiaomi Vacuum Cleaner G20 белый,Xiaomi,Пылесосы,750000000,Алматы,104990,104990,0
145200476,Пароочиститель NEXME QX004 белый,NEXME,Пароочистители,750000000,Алматы,13990,13990,0
115908600,"24.5"" XTREON XT2553E черный",XTREON,Мониторы,750000000,Алматы,54990,68738,20
141121577,"Tapo камера видеонаблюдения TP-Link Tapo TC-41, 3 расширение 2304x1296",Tapo,Камеры видеонаблюдения,750000000,Алматы,24990,31238,20
113029870,Garmin VENU 3S золотистый-бежевый,Garmin,Смарт-часы,750000000,Алматы,293990,293990,0
142189962,Midea EM7P012MZ(S) серебристый,Midea,Микроволновые печи,750000000,Алматы,37928,37928,0
116937868,"Мойка высокого давления ALTECO электрический 120 бар, CPW 120-6 66878",ALTECO,Мойки высокого давления,750000000,Алматы,36990,46238,20
102419770,"Qazprotein Instant Whey банан, клубника 900 г",Qazprotein,Протеин,750000000,Алматы,16490,16490,0
140488917,DREAME Robot Vacuum D20 Plus белый,DREAME,Роботы-пылесосы,750000000,Алматы,164990,164990,0
104181530,"Мойка высокого давления Karcher электрический 145 бар, K 5 Basic 1.180-580.0",Karcher,Мойки высокого давления,750000000,Алматы,159990,159990,0
146846773,Xiaomi A Pro 2026 L75MB-APRU 191 см черный,Xiaomi,Телевизоры,750000000,Алматы,419990,419990,0
119404505,StarLine E96 v2 KZ ECO с обратной связью,StarLine,Автосигнализации,750000000,Алматы,74000,74000,0
122724454,Sen Sulu карандаш Classic V2 Темно-коричневый,Sen Sulu,Декоративные средства для бровей,750000000,Алматы,2498,3700,32
114463824,Garmin MARQ Athlete Gen 2 Carbon Edition черный,Garmin,Смарт-часы,750000000,Алматы,1672990,1672990,0
100264622,"Компрессор масляный ВИХРЬ КМП-400/100 74/3/9, 8 бар",ВИХРЬ,Воздушные компрессоры,750000000,Алматы,190890,190890,0
120393754,AULA F75 серый,AULA ,Клавиатуры,750000000,Алматы,20848,23990,13
145516199,Xiaomi Robot Vacuum 5 OV31GL/BHR0834EU белый,Xiaomi,Роботы-пылесосы,750000000,Алматы,279990,279990,0
123523655,"Imou камера видеонаблюдения Ranger 2 3MP, 3 расширение 2304x1296",Imou,Камеры видеонаблюдения,750000000,Алматы,13990,13990,0
100079017,Ollin Professional Bionika Реконструктор флюид 100 мл,Ollin Professional,Средства по уходу за волосами,750000000,Алматы,4293,5877,27
29502692,Maxler VitaMen таблетки 90 шт,Maxler,Витамины и БАД,750000000,Алматы,15000,15000,0
128826161,"Midea MFA01W70B/W-C белый, черный",Midea,Стиральные машины,750000000,Алматы,158990,158990,0
116841810,YLW6318 белый,Без бренда,Пылесосы,750000000,Алматы,25990,45482,43
122963782,Garmin Fenix 8 47 мм серебристый-оранжевый,Garmin,Смарт-часы,750000000,Алматы,623990,623990,0
128561509,"Midea MFA01W80B/W-C белый, черный",Midea,Стиральные машины,750000000,Алматы,169990,169990,0
144392169,REDMI 15C NFC 4 ГБ/128 ГБ черный,REDMI,Смартфоны,750000000,Алматы,79990,79990,0
115757038,MAUNFELD Clyde 60 белый,MAUNFELD,Вытяжки,750000000,Алматы,55390,55390,0
101984016,ITALWAX Top Line Орхидея средняя воск 750 г,ITALWAX,Воск для депиляции,750000000,Алматы,8580,8580,0
117531564,Миксер NEXME CK298 черный,NEXME,Миксеры,750000000,Алматы,29990,54582,45
134328061,"Видеорегистратор 70mai M310 черный, серый",70mai,Видеорегистраторы,750000000,Алматы,28221,37933,26
100905529,StarLine A93 V2 2CAN 2LIN Eco с обратной связью,StarLine,Автосигнализации,750000000,Алматы,99800,99800,0
5400762,"Стабилизатор напряжения 2 кВт АСН-2000/1-Ц Ресанта релейный, 140-260В, однофазный 63/6/4",Ресанта,ИБП и стабилизаторы,750000000,Алматы,33790,33790,0
53400009,Аквафор набор картриджей на систему под мойку К3-КН-К7 3 шт,Аквафор,Картриджи и сменные фильтры,750000000,Алматы,24700,24700,0
116696297,Karcher VC 4 Cordless MyHome белый,Karcher,Пылесосы,750000000,Алматы,99990,99990,0
122073817,TROUVER E10 RGE12GA белый,TROUVER,Роботы-пылесосы,750000000,Алматы,59990,69990,14
100623327,StarLine S96 V2 2CAN+4LIN 2SIM GSM с обратной связью,StarLine,Автосигнализации,750000000,Алматы,113600,113600,0
144392142,REDMI 15C NFC 4 ГБ/128 ГБ зеленый,REDMI,Смартфоны,750000000,Алматы,79990,79990,0
105501423,LUXVISAGE Prime Expert Glow Skin основа под макияж для лица 35 мл,LUXVISAGE,Основы и фиксаторы для макияжа,750000000,Алматы,1920,2390,20
113769018,"27"" XTREON XT2753DE черный",XTREON,Мониторы,750000000,Алматы,49990,62488,20
130158385,"NEXME SK-611200B серый, серебристый, черный",NEXME,Стиральные машины,750000000,Алматы,229990,400382,43
117969957,PXN V99 черный,PXN,Игровые контроллеры,750000000,Алматы,119990,119990,0
113971892,Ulefone Armor 24 12 ГБ/256 ГБ черный,Ulefone,Смартфоны,750000000,Алматы,189990,239990,21
106532089,LUXVISAGE Active complex SPF10 СС крем 20 Beige 35 мл,LUXVISAGE,Тональные средства,750000000,Алматы,1820,2690,32
105712792,"Компрессор масляный ВИХРЬ КМП-50/300АМ 74/3/12, 8 бар",ВИХРЬ,Воздушные компрессоры,750000000,Алматы,82490,103113,20
107962323,Микрофон Fifine A6T черный,Fifine,Микрофоны,750000000,Алматы,21990,21990,0
114790865,Qazprotein Instant Whey банан 900 г,Qazprotein,Протеин,750000000,Алматы,16490,16490,0
140770871,Блендер стационарный NEXME SB-66 стальной,NEXME,Блендеры,750000000,Алматы,12990,25462,49
5400768,"Стабилизатор напряжения 1 кВт АСН-1000/1-Ц Ресанта релейный, 140-260В, однофазный 63/6/2",Ресанта,ИБП и стабилизаторы,750000000,Алматы,21490,23988,10
141530632,Xiaomi Smart Band 10 черный,Xiaomi,Фитнес-браслеты,750000000,Алматы,21990,24988,12
105868148,Maxler Creatine Monohydrate Креатин 150 г,Maxler,Креатин,750000000,Алматы,9000,9000,0
106118908,Ollin Professional Salon Beauty с экстрактом ламинарии шампунь 1000 мл,Ollin Professional,Шампуни для волос,750000000,Алматы,5600,6426,13
106042231,Наушники Fifine H6 черный,Fifine,Наушники,750000000,Алматы,19652,19652,0
138125540,Bambu Lab Bambu Lab A1 mini (EU-версия) Без AMS system,Bambu Lab,3D-принтеры,750000000,Алматы,122990,149990,18
2240132,Canon IXUS 285 HS черный,Canon,Фотокамеры,750000000,Алматы,219998,219998,0
106795757,Canon EOS R10 kit 18-45mm IS STM,Canon,Фотокамеры,750000000,Алматы,450228,555808,19
100164151,Комплект сменных модулей для Аквафор DWM-101S Морион без мембраны (К5-К2-К7М),Аквафор,Картриджи и сменные фильтры,750000000,Алматы,22400,22400,0
141597999,"27"" XTREON XT2758VH V2 черный",XTREON,Мониторы,750000000,Алматы,69990,87488,20
140625954,Midea MFD60S160Si-C серый,Midea,Посудомоечные машины,750000000,Алматы,184080,228836,20
5400774,"Стабилизатор напряжения 8 кВт LUX АСН-8000Н/1-Ц Ресанта релейный, 140-260В, однофазный 63/6/17",Ресанта,ИБП и стабилизаторы,750000000,Алматы,112390,112390,0
147026783,Garmin Venu 4s 41 мм золотистый-белый,Garmin,Смарт-часы,750000000,Алматы,342990,342990,0
115877817,Pancho Курица и индейка для взрослых всех пород 15 кг,Pancho,Сухие корма для собак,750000000,Алматы,14700,14700,0
106325149,LUXVISAGE Active complex SPF10 СС крем 10 Fair 35 мл,LUXVISAGE,Тональные средства,750000000,Алматы,1825,2690,32
106121863,Qazprotein Muscle Mass Gainer 1400 г Клубничное мороженое 1400 г,Qazprotein,Гейнеры,750000000,Алматы,10940,10940,0
100852603,Электробритва Xiaomi EnchenStone 3 роторная,Xiaomi,Электробритвы,750000000,Алматы,11990,11990,0
144413645,Xiaomi Robot Vacuum H40 белый,Xiaomi,Роботы-пылесосы,750000000,Алматы,119990,149990,20
100084789,Сабельная пила ALTECO RS 0514,ALTECO,Сабельные пилы,750000000,Алматы,24900,32200,23
123156338,Дрель-шуруповерт ALTECO CID 21-35 71402,ALTECO,Дрели и шуруповерты,750000000,Алматы,26900,26900,0
117712090,YLW6318 белый,Без бренда,Пылесосы,750000000,Алматы,25990,45482,43
140252130,XTREON подставка для ноутбука DCX-A19,XTREON,Подставки для ноутбуков,750000000,Алматы,12990,16238,20
115034062,МФУ Canon i-SENSYS MF275dw,Canon,Принтеры и МФУ,750000000,Алматы,179897,236084,24
30100059,Электролобзик ALTECO JS 750,ALTECO,Электролобзики,750000000,Алматы,25900,25900,0
40900024,Краскопульт ALTECO SG 2203 27633,ALTECO,Краскопульты,750000000,Алматы,17900,21500,17
109351528,Garmin Forerunner 965 черный-желтый,Garmin,Смарт-часы,750000000,Алматы,374990,374990,0
119596967,EPOMAKER x AULA F75 черный,EPOMAKER,Клавиатуры,750000000,Алматы,20725,20725,0
102799936,Canon RF 24-70mm f/2.8L IS USM,Canon,Объективы,750000000,Алматы,1123903,1123903,0
103171362,Батарейка AAA Camelion 24 шт,Camelion,Батарейки и аккумуляторы,750000000,Алматы,1507,1799,16
103323801,Воск пленочный ITALWAX Белый шоколад плотность средняя в гранулах 100 г,ITALWAX,Воск для депиляции,750000000,Алматы,990,990,0
124278544,Garmin Fenix 8 Solar 51 мм черный,Garmin,Смарт-часы,750000000,Алматы,679990,679990,0
112302514,Transcend TS512GESD310C 512 Гб,Transcend,Внешние накопители,750000000,Алматы,57890,72213,20
151642585,StarLine E97 LoRa ECO KZ с обратной связью,StarLine,Автосигнализации,750000000,Алматы,74000,74000,0
124331889,Bambu Lab A1,Bambu Lab,3D-принтеры,750000000,Алматы,187990,187990,0
114087493,Наушники Soundcore Liberty 4 NC черный,Soundcore,Наушники,750000000,Алматы,26390,30000,12
150114155,TCL 55C7K 140 см черный,TCL,Телевизоры,750000000,Алматы,459990,574988,20
144303310,Набор ALTECO: аккумулятор 4Ah + Быстрая зарядка,ALTECO,Аккумуляторы для инструментов,750000000,Алматы,18500,18500,0
5400778,"Стабилизатор напряжения 10 кВт АСН-10000/1-Ц Ресанта релейный, 140-260В, однофазный 63/6/8",Ресанта,ИБП и стабилизаторы,750000000,Алматы,122690,122690,0
117246853,Пароочиститель Karcher SC 5 Deluxe Signature Line белый,Karcher,Пароочистители,750000000,Алматы,299990,299990,0
7300284,Transcend TS4TSJ25H3P 4000 Гб,Transcend,Внешние накопители,750000000,Алматы,137901,174473,21
148573019,"23.8"" XTREON XT2442PE черный",XTREON,Мониторы,750000000,Алматы,51990,64988,20
5400787,Стабилизатор напряжения Ресанта АСН-15000/1-Ц,Ресанта,ИБП и стабилизаторы,750000000,Алматы,204690,204690,0
144219806,Poco C85 6 ГБ/128 ГБ черный,Poco,Смартфоны,750000000,Алматы,89990,89990,0
135828431,"Мойка высокого давления Karcher электрический 130 бар, K Silent Anniversary edition / 1.600-956.0",Karcher,Мойки высокого давления,750000000,Алматы,104990,104990,0
6000229,StarLine A93 Eco 2Can+2Lin с обратной связью,StarLine,Автосигнализации,750000000,Алматы,99800,99800,0
101098604,MAUNFELD Lee Push 39 черный,MAUNFELD,Вытяжки,750000000,Алматы,269990,269990,0
123312362,StarLine S97 3CAN FD+4LIN GPS с обратной связью,StarLine,Автосигнализации,750000000,Алматы,140000,140000,0
118200547,TROUVER J20 черный,TROUVER,Пылесосы,750000000,Алматы,53990,79990,33
133133380,NEXME DW14D05W белый,NEXME,Посудомоечные машины,750000000,Алматы,129990,200185,35
139667075,Roborock Q8 Max Pro Q8MRP52-02 черный,Roborock,Роботы-пылесосы,750000000,Алматы,89990,99990,10
132172842,TROUVER K30 Mix белый,TROUVER,Пылесосы,750000000,Алматы,199990,199990,0
110151201,Canon EOS R6 Mark II Kit RF 24-105mm F/4-7.1 IS STM черный,Canon,Фотокамеры,750000000,Алматы,1063642,1437180,26
7300194,Transcend TS2TSJ25H3P 2000 Гб,Transcend,Внешние накопители,750000000,Алматы,77990,77990,0
120871919,"Подгузники-трусики BAFURI M, 3, 46 шт",BAFURI,Подгузники,750000000,Алматы,3624,3624,0
100480995,"Дисковая пила ALTECO Promo CS 1200-185 31014, электрическая",ALTECO,Дисковые пилы,750000000,Алматы,27900,27900,0
146083898,Huawei MatePad 11.5 2025 11.5 дюйм 8 Гб/128 Гб серый,Huawei,Планшеты,750000000,Алматы,169890,189890,11
118168076,Видеорегистратор 70mai A200 Set черный,70mai,Видеорегистраторы,750000000,Алматы,40305,40305,0
120495927,NEXME DW13D02S серебристый,NEXME,Посудомоечные машины,750000000,Алматы,139990,215585,35
144697317,Аэрогриль DREAME AF30 7 л черный,DREAME,Аэрогрили,750000000,Алматы,69990,69990,0
115935296,Karcher WD 4 V-20/5/22 желтый,Karcher,Строительные пылесосы,750000000,Алматы,84990,84990,0
113679559,Наушники Soundcore Space One черный,Soundcore,Наушники,750000000,Алматы,37490,52829,29
130634140,NEXME CK198-BG черный,NEXME,Кухонные комбайны,750000000,Алматы,43990,81882,46
53400021,Картридж Аквафор A5 1 шт,Аквафор,Сменные модули для фильтров-кувшинов,750000000,Алматы,3040,3040,0
119515044,"Подгузники Tomiko M, 3, 58 шт",Tomiko,Подгузники,750000000,Алматы,6900,6900,0
113423023,МФУ Canon G3416,Canon,Принтеры и МФУ,750000000,Алматы,92990,92990,0
102654764,LUXVISAGE Prime Expert Anti Red основа под макияж для лица 35 мл,LUXVISAGE,Основы и фиксаторы для макияжа,750000000,Алматы,1663,2390,30
139895845,Roborock F25 - ACE черный,Roborock,Пылесосы,750000000,Алматы,196862,196862,0
107343337,Строительный пылесос Karcher WD 5 V-25/5/22 1.628-300.0,Karcher,Строительные пылесосы,750000000,Алматы,109990,109990,0
142847990,Протеин Qazprotein Instant Whey Snickers 900 г,Qazprotein,Протеин,750000000,Алматы,16490,16490,0
100039705,"Перфоратор ALTECO RH 0216 Promo 28050 2.6 Дж, 620 Вт., SDS-Plus",ALTECO,Перфораторы,750000000,Алматы,24320,24320,0
29502180,Maxler Creatine Caps 1000 100 капсул,Maxler,Креатин,750000000,Алматы,12000,12000,0
136132435,StarLine E7 LTE-GPS с обратной связью,StarLine,Автосигнализации,750000000,Алматы,167200,167200,0
138032152,Проектор Wanbo T2 Ultra,Wanbo,Проекторы,750000000,Алматы,115990,115990,0
134659950,Sen Sulu Concealer консилер 03 natural beige,Sen Sulu,Корректоры и консилеры,750000000,Алматы,3610,5200,31
100107685,Ресанта шуруповерт СШ-550-2,Ресанта,Дрели и шуруповерты,750000000,Алматы,17290,17290,0
121397820,Xiaomi Truclean W20 Wet Dry Vacuum белый,Xiaomi,Пылесосы,750000000,Алматы,119990,119990,0
149101959,"27"" XTREON XT27U1 черный",XTREON,Мониторы,750000000,Алматы,64990,64990,0
100078664,Комплект сменных модулей для Аквафор DWM-102S и DWM-202S (К5-К2-КО-100S-К7М),Аквафор,Картриджи и сменные фильтры,750000000,Алматы,47900,47900,0
105632137,"Мешок-пылесборник Karcher 2.863-314.0 для пылесосов Karcher Kärcher WD 2 Plus, WD 3, WD 3 Battery и KWD 1 – KWD 3 4 шт.",Karcher,Аксессуары для пылесосов и стеклоочистителей,750000000,Алматы,9990,9990,0
140640326,Redmi Pad 2 4G 11 дюйм 4 Гб/128 Гб зеленый,REDMI,Планшеты,750000000,Алматы,104990,104990,0
